,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9897959183673469,0.9797979797979798,0.9847715736040609,99.0
Pepper__bell___healthy,0.9735099337748344,1.0,0.9865771812080537,147.0
Potato___Early_blight,0.9801980198019802,1.0,0.99,99.0
Potato___Late_blight,0.9797979797979798,0.9797979797979798,0.9797979797979798,99.0
Potato___healthy,1.0,0.9375,0.967741935483871,16.0
Tomato_Bacterial_spot,0.9906103286384976,1.0,0.9952830188679245,211.0
Tomato_Early_blight,0.97,0.9797979797979798,0.9748743718592965,99.0
Tomato_Late_blight,0.9836956521739131,0.9526315789473684,0.9679144385026738,190.0
Tomato_Leaf_Mold,1.0,0.968421052631579,0.983957219251337,95.0
Tomato_Septoria_leaf_spot,0.9830508474576272,0.9886363636363636,0.9858356940509915,176.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9880239520958084,0.9939759036144579,0.990990990990991,166.0
Tomato__Target_Spot,1.0,0.9571428571428572,0.9781021897810219,140.0
Tomato__Tomato_YellowLeaf__Curl_Virus,1.0,0.9937106918238994,0.9968454258675079,318.0
Tomato__Tomato_mosaic_virus,1.0,1.0,1.0,37.0
Tomato_healthy,0.9518072289156626,1.0,0.9753086419753086,158.0
accuracy,0.9853658536585366,0.9853658536585366,0.9853658536585366,0.9853658536585366
macro avg,0.9860326574015765,0.982094159146031,0.9838667107494012,2050.0
weighted avg,0.9856101369602691,0.9853658536585366,0.9853422270324409,2050.0
